name,identifier,type,website
"FloodNet NYC","flood-net-nyc","academic","https://www.floodnet.nyc/"
"jediahkatz","jediahkatz","individual","https://github.com/jediahkatz"
"New York City Council","new-york-city-council","government","https://council.nyc.gov/"
"NYC Department of Buildings","nyc-department-of-buildings","government","https://www.nyc.gov/site/buildings/index.page"
"NYC Department of City Planning","nyc-planning","government","https://www.nyc.gov/content/planning/pages/"
"NYC Department of Health and Mental Hygiene","nyc-health","government","https://www.nyc.gov/site/doh/index.page"
"NYC Department of Parks and Recreation","nyc-parks","government","https://www.nycgovparks.org/"
"NYC Department of Transportation","nyc-dot","government","https://www.nyc.gov/html/dot/html/home/home.shtml"
"NYC Mesh","nyc-mesh","non-profit","https://www.nycmesh.net/"
"NYC Office of Technology and Innovation","nyc-oti","government","https://www.nyc.gov/content/oti/pages/"
"Redistricter LLC","redistricter","company",""
"SONYC","sonyc","academic","https://wp.nyu.edu/sonyc/"
"The New York Public Library","new-york-public-library","government","https://www.nypl.org/"
